claim_id,section_label,claim_text,evidence_kind,source_id,source_path,locator,limitations
"result-abstract","sec:abstract","最低关键词候选 trial 66 的关键词命中为54/100","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].keyword_count","同一次验证集搜索；不是独立测试或120个重复实验"
"gate-abstract","sec:abstract","机器验收状态为failed","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:acceptance_status",""
"result-introduction","sec:introduction","最低关键词候选 trial 66 的关键词命中为54/100","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].keyword_count","同一次验证集搜索；不是独立测试或120个重复实验"
"gate-introduction","sec:introduction","机器验收状态为failed","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:acceptance_status",""
"result-experiments","sec:experiments","最低关键词候选 trial 66 的关键词命中为54/100","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].keyword_count","同一次验证集搜索；不是独立测试或120个重复实验"
"gate-experiments","sec:experiments","机器验收状态为failed","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:acceptance_status",""
"result-conclusion","sec:conclusion","最低关键词候选 trial 66 的关键词命中为54/100","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66].keyword_count","同一次验证集搜索；不是独立测试或120个重复实验"
"gate-conclusion","sec:conclusion","机器验收状态为failed","measured","repo:docs/logs/ara-v1/acceptance.json","docs/logs/ara-v1/acceptance.json","summary:acceptance_status",""
"trial-66","tab:results","trial 66: Keywords=54/100；KL=0.089975","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","summary:trials[66]","计数样本分母由归档显示与配置/日志交叉核对"
"trial-line-66","sec:experiments","trial 66 原始配对评分记录","measured","repo:docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","docs/logs/ara-v1/checkpoints/--root--autodl-fs--models--Qwen3--8-27B.jsonl","line:1209","不可跨候选拼接目标"
