trial_number,display_index,state,keywords,keyword_count,sample_count,kl,baseline_keywords,baseline_kl,absolute_drop,relative_drop,numerical_gate_pass,pareto,phase,start_layer_index,end_layer_index,attn_strength,mlp_strength,mlp_strength_raw,push_weight,margin,layer_start_fraction,layer_span_fraction,terminal_line,score_lines
0,1,COMPLETE,0.97,97,100,0.015552503988146782,1.0,0,0.030000000000000027,0.030000000000000027,false,false,startup,25,59,0.15702970884055384,0.259195090518222,0.259195090518222,0.31203728088487304,0.3852797006364793,0.399816047538945,0.5278214378844623,23,21
1,2,COMPLETE,0.99,99,100,0.008126658387482166,1.0,0,0.010000000000000009,0.010000000000000009,false,false,startup,17,49,0.06358358856676251,0.32484354667762727,0.32484354667762727,0.041168988591604894,3.679830740058393,0.2732334448672798,0.48977926559872087,41,39
2,3,COMPLETE,1.0,100,100,0.004070069640874863,1.0,0,0.0,0.0,false,false,startup,37,50,0.0035113563139704067,0.010042705912060287,0.010042705912060287,0.6084844859190754,1.0710499222736416,0.5829770563201687,0.19555259980522427,59,57
3,4,COMPLETE,1.0,100,100,0.0022259389515966177,1.0,0,0.0,0.0,false,false,startup,27,42,0.06847920095574778,0.0,-0.016303683608774905,0.5842892970704363,0.6903727249529937,0.42277800745684635,0.23105311308911888,77,75
4,5,COMPLETE,0.98,98,100,0.016119634732604027,1.0,0,0.020000000000000018,0.020000000000000018,false,false,startup,27,57,0.00397211072738191,0.20854066304816696,0.20854066304816696,1.184829137724085,0.28436220870430334,0.4324279936868144,0.4533291826268562,95,93
5,6,COMPLETE,0.99,99,100,0.007137160282582045,1.0,0,0.010000000000000009,0.010000000000000009,false,false,startup,31,43,0.001567309546723541,0.4693313223519999,0.4693313223519999,1.9312640661491187,2.351513137757598,0.49301794076057537,0.1767358556592812,113,111
6,7,COMPLETE,1.0,100,100,0.0018274143803864717,1.0,0,0.0,0.0,false,false,startup,23,33,0.11290133559092672,0.16409149624376076,0.16409149624376076,0.24407646968955765,0.986716569286215,0.37184550766934826,0.14395245130287276,131,129
7,8,COMPLETE,0.99,99,100,0.012119894847273827,1.0,0,0.010000000000000009,0.010000000000000009,false,false,startup,16,49,0.005975027999960293,0.29751337061238914,0.29751337061238914,0.6234221521788219,1.0572174074141643,0.26375540844608736,0.509194180935452,149,147
8,9,COMPLETE,0.97,97,100,0.013808105140924454,1.0,0,0.030000000000000027,0.030000000000000027,false,false,startup,29,41,0.8105016126411579,0.36507969401666873,0.36507969401666873,1.8789978831283782,2.9882677121619663,0.46868411173731184,0.1831845049864872,167,165
9,10,COMPLETE,0.99,99,100,0.023138711228966713,1.0,0,0.010000000000000009,0.010000000000000009,false,false,startup,31,64,0.0018427970406864537,0.017589717451487102,0.017589717451487102,0.09045457782107613,0.6161362498757661,0.48915999152443407,0.5148434057604027,185,183
