claim_id,section,claim_text,evidence_class,source,source_revision,accessed_at,locator,verification_status,notes
C01,Method,"An absent seed is generated and transformers.set_seed initializes Python, NumPy and PyTorch state",code,src/heretic/main.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 267-270,verified,
C02,Method,"Tokenizer, optional processor and model use the same model and optional model_commit revision",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 66-115,verified,No independent tokenizer or processor revision field
C03,Method,"Good and bad direction prompts load before scorer initialization and baseline evaluation",code,src/heretic/main.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 410-422 and 514-515,verified,Evaluator details in evaluator.py lines 34-45
C04,Method,"Residuals come from one-token generation and the prompt-final hidden state that predicts the first response token",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 703-735,verified,
C05,Method,"The normal mean path accumulates on CPU in FP64 while geometry/plot mode materializes FP32 residuals and directly averages them",code,src/heretic/main.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 540-565,verified,FP64 accumulation is in model.py lines 763-785
C06,Method,"The refusal direction is the normalized bad mean minus good mean",code,src/heretic/main.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,line 567,verified,
C07,Method,"Projected abliteration removes the component of the refusal direction parallel to the normalized good mean and renormalizes",code,src/heretic/main.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 569-578,verified,
C08,Method,"A floating global direction index linearly interpolates adjacent residual directions and renormalizes; per-layer mode uses each layer direction",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 461-480 and 508-513,verified,
C09,Method,"Each component has a piecewise-linear layer kernel with max_weight, max_weight_position, min_weight and min_weight_distance",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 484-506,verified,Parameters are declared at lines 50-55
C10,Method,"Directional ablation is represented as LoRA B=-lambda v and A=v^T W",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 525-575,verified,
C11,Method,"FULL normalization restores row norms on the full adjusted matrix then uses seeded torch.svd_lowrank and truncates to configured rank",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 580-611,verified,The final LoRA is an approximation
C12,Qwen Case,"Standard self_attn.o_proj and linear_attn.out_proj are mapped to the same attn.o_proj component; mlp.down_proj is also discovered",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 381-409,verified,
C13,Qwen Case,"The internal Prompt entity contains only system and user strings",code,src/heretic/utils.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 145-148,verified,The evaluated path has no image field
C14,Qwen Case,"response_prefix is appended after applying the tokenizer chat template so measurement begins after the prefix",code,src/heretic/model.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 630-657,verified,Auto-detection and CoT skip are in main.py lines 475-510
C15,Optimization,"KeywordRate treats empty output as a match and normalizes case, asterisks, typographic apostrophes and whitespace before substring matching",code,src/heretic/scorers/keyword_rate.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 93-138,verified,Default markers at lines 10-44 are English
C16,Optimization,"KL uses ablated log probabilities as input and baseline log probabilities as target with batchmean and log_target=True",code,src/heretic/scorers/kl_divergence.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 42-74,verified,This is D_KL(p_base || p_ablated) at the first token
C17,Optimization,"Evaluator loads scorer-owned datasets then establishes baseline scores before trials",code,src/heretic/evaluator.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 34-45 and 105-109,verified,
C18,Optimization,"ScorerConfig.optimization controls objective inclusion and minimize/maximize direction",code,src/heretic/config.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 95-125 and 337-352,verified,Objective ordering is centralized in evaluator.py lines 228-266
C19,Optimization,"Heretic uses multivariate TPE with startup trials and exposes Optuna best_trials as the Pareto set without a hidden weighted sum",code,src/heretic/main.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 719-735 and 772-827,verified,
C20,Optimization,"Reproduction artifacts are optional only in a qualifying Hub-upload flow with pinned Hub datasets, reproducible built-in scorers and a non-reproduction run",code,src/heretic/main.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 1053-1172 and 1239-1258,verified,Local save path ends without create_reproduce_folder
C21,Optimization,"reproduce.json v3 records settings, direction index, component parameters, score records and hashes but not the selected trial number",code,src/heretic/utils.py,bedb94ef117a271532ac2058447fbc165d5051bd,2026-08-31,lines 557-589,verified,
C22,Qwen Case,"Qwen3.8-27B is officially described as a 27B causal language model with a vision encoder, hidden size 5120, 64 layers and 262144 native context",official-external,"https://huggingface.co/Qwen/Qwen3.8-27B/blob/1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0/README.md",1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,2026-08-31,Model Overview,verified,Official statement
C23,Qwen Case,"The official Qwen card says thinking is on by default and can be controlled per request",official-external,"https://huggingface.co/Qwen/Qwen3.8-27B/blob/1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0/README.md",1d4bf0f2ff6012fd82039f2fa52739d0dd7c60c0,2026-08-31,Qwen3.8 Highlights / Flexible Thinking Control,verified,Official statement
